,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
1104,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",31/12/2020,88,59,222,,,,9,7,13,10,9,11,45,33,55,,,,11,8,13
1105,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",30/12/2020,73,41,123,,,,9,6,13,14,10,29,36,29,50,,,,10,8,13
1106,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",29/12/2020,90,43,246,,,,8,6,12,11,10,12,39,32,60,,,,11,7,14
1107,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",28/12/2020,92,75,125,,,,8,3,10,11,10,13,38,30,60,,,,10,6,14
1108,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",27/12/2020,92,64,189,,,,8,2,11,12,10,19,26,19,70,,,,10,8,13
1109,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",26/12/2020,103,71,175,,,,9,6,18,15,10,37,34,26,61,,,,10,8,13
1110,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",25/12/2020,89,2,203,,,,8,4,12,14,11,27,33,18,65,,,,10,4,14
1111,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",24/12/2020,,,,,,,,,,,,,54,38,66,,,,,,
1112,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",23/12/2020,79,59,121,,,,8,3,10,10,7,15,38,11,54,,,,10,3,13
1113,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",22/12/2020,117,62,310,,,,8,1,12,7,6,12,39,29,55,,,,11,7,13
1114,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",21/12/2020,,,,,,,,,,,,,,,,,,,,,
1115,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",20/12/2020,129,86,219,,,,8,5,10,8,7,8,45,39,56,,,,10,8,12
1116,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",19/12/2020,117,65,205,,,,8,5,24,8,7,9,47,39,56,,,,10,8,11
1117,Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",18/12/2020,63,35,119,,,,8,5,11,8,7,9,38,32,54,,,,11,8,24
