,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum,NH3_average,NH3_minimum,NH3_maximum
5704,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",31/12/2020,230,127,327,146,69,197,26,18,47,6,1,14,47,40,75,60,1,134,6,5,8
5705,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",30/12/2020,230,83,361,180,108,309,35,23,46,8,4,14,40,35,90,45,1,113,9,8,10
5706,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",29/12/2020,166,52,351,184,145,295,16,12,19,7,4,13,74,20,90,37,2,95,8,7,9
5707,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",28/12/2020,349,85,486,275,202,436,,,,11,4,16,47,25,123,88,2,139,11,7,13
5708,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",27/12/2020,303,187,399,164,118,265,38,23,54,8,4,14,83,40,107,46,2,133,9,7,12
5709,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",26/12/2020,287,98,375,157,103,217,38,23,57,8,3,13,50,35,88,49,2,140,9,7,10
5710,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",25/12/2020,343,290,395,186,127,252,38,25,56,8,6,12,60,40,106,43,2,135,10,7,12
5711,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",24/12/2020,,,,,,,,,,,,,85,50,106,51,2,154,,,
5712,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",23/12/2020,338,237,404,180,126,262,40,26,76,10,7,18,48,35,90,72,3,159,9,7,12
5713,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",22/12/2020,316,240,375,171,134,234,40,27,59,12,6,20,59,45,72,64,3,164,8,7,10
5714,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",21/12/2020,293,167,350,161,117,196,39,25,57,13,5,20,50,38,80,60,3,145,8,7,9
5715,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",20/12/2020,299,197,346,162,124,200,37,23,58,11,5,17,70,40,85,56,5,139,8,7,8
5716,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",19/12/2020,201,73,327,124,81,169,28,19,53,7,4,14,60,30,90,59,5,117,7,5,8
5717,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",18/12/2020,279,203,332,144,115,189,25,16,49,6,1,10,49,30,60,40,5,89,9,8,10
5718,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",17/12/2020,229,110,329,128,94,182,28,17,39,5,1,8,43,20,55,38,6,80,14,8,22
5719,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",16/12/2020,173,65,306,102,48,151,27,19,41,3,1,7,43,30,52,38,5,90,16,10,20
5720,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",15/12/2020,124,75,302,86,56,145,21,14,36,4,1,6,43,20,57,43,7,94,16,12,25
5721,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",14/12/2020,,,,,,,27,18,34,,,,38,30,70,28,8,64,23,14,40
5722,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",13/12/2020,344,157,463,237,118,404,39,25,56,6,1,12,91,40,101,28,6,92,34,18,63
5723,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",12/12/2020,299,220,365,183,129,304,52,28,83,9,2,21,88,55,100,23,6,115,30,19,42
5724,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",11/12/2020,246,92,336,149,97,196,,,,11,4,59,57,25,102,44,6,127,18,6,52
5725,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",10/12/2020,,,,,,,,,,,,,79,35,104,44,7,179,,,
5726,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",09/12/2020,301,203,404,160,120,278,16,3,28,8,2,20,61,45,101,57,5,198,10,6,15
5727,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",08/12/2020,383,324,436,280,179,389,22,11,42,8,4,14,66,50,101,42,7,159,9,8,11
5728,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",07/12/2020,378,267,430,274,145,401,30,11,62,9,4,20,70,48,95,57,8,175,8,7,10
5729,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",06/12/2020,377,316,408,288,192,364,37,17,68,11,4,19,80,50,100,69,8,265,10,5,17
5730,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",05/12/2020,347,270,413,242,177,389,29,9,80,14,5,31,71,45,106,88,6,248,9,7,10
5731,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",04/12/2020,305,237,354,169,131,201,30,11,48,10,3,19,64,40,100,59,6,192,8,7,9
5732,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",03/12/2020,311,183,356,186,124,243,,,,14,5,36,54,35,85,60,6,185,8,7,9
5733,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",02/12/2020,324,200,379,193,124,277,,,,13,7,25,53,40,92,66,7,242,6,5,8
5734,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",01/12/2020,284,130,340,164,107,239,,,,,,,53,38,102,63,6,188,6,3,12
5735,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",30/11/2020,,,,,,,,,,,,,55,40,60,19,6,172,,,
5736,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",29/11/2020,217,78,328,156,77,443,20,15,29,8,1,16,47,35,60,55,8,145,7,6,8
5737,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",28/11/2020,133,63,230,96,59,157,21,15,27,6,2,14,47,30,60,56,7,132,7,6,8
5738,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",27/11/2020,215,40,417,156,51,344,31,23,42,13,4,26,39,30,95,56,8,121,8,7,12
5739,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",26/11/2020,384,315,427,318,185,424,54,39,76,17,10,30,82,45,112,56,6,191,10,9,14
5740,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",25/11/2020,363,280,460,304,167,478,50,33,77,19,6,42,85,48,112,81,6,274,9,7,11
5741,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",24/11/2020,283,133,345,181,112,300,38,30,54,8,2,14,57,40,75,82,6,248,7,6,8
5742,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",23/11/2020,258,83,355,159,107,210,32,22,38,8,2,22,47,35,70,52,6,154,7,5,8
5743,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",22/11/2020,271,48,395,179,99,279,29,21,37,8,4,23,41,30,80,59,9,137,7,6,9
5744,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",21/11/2020,344,95,500,249,107,460,,,,10,4,21,35,35,80,163,11,176,9,6,15
5745,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",20/11/2020,291,113,418,181,102,290,30,23,41,7,3,14,49,35,75,81,10,188,8,7,11
5746,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",19/11/2020,250,160,340,136,107,218,22,18,42,6,2,16,49,40,90,65,9,165,8,7,9
5747,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",18/11/2020,182,42,333,110,57,163,17,12,20,6,3,15,63,30,90,54,9,121,8,6,10
5748,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",17/11/2020,216,95,321,118,83,156,18,11,74,7,2,10,71,43,80,34,6,106,8,5,12
5749,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",16/11/2020,373,217,500,269,125,500,24,18,48,19,9,46,48,45,101,110,42,220,8,7,10
5750,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",15/11/2020,431,328,500,358,182,500,28,21,53,19,2,73,81,50,106,97,9,268,9,8,11
5751,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",14/11/2020,292,92,404,200,101,342,22,11,35,12,7,22,54,35,80,86,9,213,7,6,8
5752,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",13/11/2020,292,92,404,200,101,342,22,11,35,12,7,22,54,35,80,86,9,213,7,6,8
5753,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",12/11/2020,331,197,433,259,143,415,31,18,103,11,6,24,53,15,106,82,8,253,7,6,9
5754,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",11/11/2020,318,133,444,280,122,438,32,15,68,10,6,15,51,2,140,69,9,195,7,5,9
5755,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",10/11/2020,,,,,,,,,,,,,,,,,,,,,
5756,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",09/11/2020,437,379,500,391,284,500,42,33,59,22,8,47,98,75,112,60,2,220,11,10,13
5757,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",08/11/2020,425,307,500,375,193,468,58,12,106,18,9,35,70,50,110,75,4,204,10,8,12
5758,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",07/11/2020,381,335,446,301,227,441,76,29,105,19,8,33,84,60,108,53,3,169,9,2,11
5759,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",06/11/2020,410,321,495,346,185,443,70,21,103,17,10,30,79,55,113,49,3,180,11,7,25
5760,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",05/11/2020,392,260,500,329,171,473,62,20,112,20,6,48,109,75,116,32,4,108,10,7,17
5761,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",04/11/2020,233,48,338,192,112,294,55,15,111,20,12,44,74,38,107,57,5,159,7,5,8
5762,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",03/11/2020,238,78,331,172,104,230,48,13,84,21,12,32,65,40,100,42,2,145,7,6,8
5763,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",02/11/2020,280,77,452,248,129,411,43,14,70,17,14,26,63,40,102,55,2,146,7,5,10
5764,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",01/11/2020,353,87,500,323,126,461,42,13,64,20,13,32,72,45,102,56,2,165,9,6,13
5765,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",31/10/2020,,,,,,,,,,,,,67,35,101,59,27,167,,,
5766,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",30/10/2020,363,187,450,297,127,416,55,15,94,19,3,41,56,43,110,,,,10,7,12
5767,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",29/10/2020,336,287,409,255,174,423,59,17,107,11,1,21,95,68,110,141,3,211,9,8,11
5768,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",28/10/2020,261,73,413,220,109,401,37,13,80,15,7,28,65,40,102,54,3,167,9,6,14
5769,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",27/10/2020,303,85,416,260,122,430,54,13,106,24,14,53,59,38,106,64,4,243,9,7,12
5770,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",26/10/2020,326,207,371,258,167,362,59,19,127,35,13,91,74,48,108,63,4,188,10,8,12
5771,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",25/10/2020,308,140,413,246,135,417,49,10,122,26,15,41,73,40,115,94,6,195,9,8,12
5772,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",24/10/2020,325,120,468,270,135,466,52,12,89,36,20,99,82,40,107,73,2,258,10,8,14
5773,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",23/10/2020,279,107,380,257,152,423,62,15,138,30,18,50,71,40,109,77,2,227,9,7,12
5774,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",22/10/2020,208,15,361,180,57,341,51,9,111,21,12,44,64,35,108,60,2,180,8,5,12
5775,Delhi,Delhi,site_1427,"Najafgarh, Delhi - DPCC",21/10/2020,212,45,311,167,101,237,42,8,78,22,7,57,84,57,106,52,2,197,,,
