,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
8648,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",31/12/2020,241,170,324,246,183,344,75,56,103,32,29,35,23,17,27,132,101,159,23,12,32
8649,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",30/12/2020,,,,,,,,,,,,,,,,,,,,,
8650,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",29/12/2020,163,57,304,224,153,411,74,55,102,25,23,29,29,21,60,,,,13,2,28
8651,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",28/12/2020,324,95,411,316,193,478,97,60,154,32,28,35,32,22,49,86,20,113,18,9,74
8652,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",27/12/2020,302,103,411,275,142,441,101,68,130,30,28,34,30,24,38,67,5,144,17,7,47
8653,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",26/12/2020,270,78,372,249,129,443,94,66,116,31,28,35,29,23,34,94,20,114,15,3,31
8654,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",25/12/2020,358,177,463,358,161,500,102,74,139,,,,31,23,43,114,10,184,21,13,31
8655,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",24/12/2020,385,200,493,384,185,500,107,70,139,,,,42,23,105,130,18,171,20,11,36
8656,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",23/12/2020,385,287,447,453,276,500,109,87,139,32,28,34,37,24,90,171,103,171,26,16,42
8657,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",22/12/2020,328,273,385,368,206,492,97,63,153,25,21,32,42,17,113,159,80,159,34,12,117
8658,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",21/12/2020,,,,,,,,,,,,,,,,,,,,,
8659,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",20/12/2020,241,77,408,318,204,500,81,51,132,23,21,29,28,17,43,105,65,126,26,8,59
8660,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",19/12/2020,197,52,325,228,141,425,70,50,124,22,21,23,26,22,38,101,68,122,29,22,49
8661,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",18/12/2020,170,92,322,201,145,362,50,31,80,23,22,24,23,20,28,96,60,108,27,17,35
8662,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",17/12/2020,139,57,207,178,147,252,53,40,74,23,22,25,24,21,27,90,68,106,25,19,37
8663,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",16/12/2020,135,80,233,173,123,250,53,36,76,23,22,24,36,21,80,91,68,106,24,17,37
8664,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",15/12/2020,113,52,287,136,64,234,44,31,68,24,23,26,24,20,30,84,55,98,23,15,34
8665,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",14/12/2020,144,52,341,135,100,245,,,,28,26,32,20,16,24,71,65,108,22,16,30
8666,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",13/12/2020,303,230,366,206,152,300,,,,31,29,33,22,21,24,106,95,109,32,24,43
8667,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",12/12/2020,254,143,319,241,149,375,92,57,132,30,28,33,30,24,39,111,101,117,30,23,108
8668,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",11/12/2020,207,107,310,193,148,277,69,49,95,29,27,31,31,24,52,104,90,111,32,19,57
8669,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",10/12/2020,296,78,400,327,134,445,91,63,152,28,27,30,34,20,53,113,100,162,27,14,58
8670,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",09/12/2020,307,97,407,314,137,500,86,55,115,29,27,31,31,24,51,122,92,143,37,12,85
8671,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",08/12/2020,343,273,380,311,188,403,83,57,112,31,29,34,28,22,41,122,105,133,36,13,62
8672,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",07/12/2020,319,203,374,279,171,401,83,54,129,30,29,33,28,23,40,112,98,126,26,12,83
8673,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",06/12/2020,342,290,375,400,292,471,90,65,127,30,29,32,29,22,33,125,102,139,36,16,75
8674,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",05/12/2020,,,,,,,,,,,,,,,,,,,,,
8675,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",04/12/2020,307,150,410,370,201,500,98,64,132,25,24,28,42,31,56,174,90,186,47,23,77
8676,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",03/12/2020,296,147,361,241,130,405,98,66,127,25,24,26,38,24,65,110,90,128,27,7,55
8677,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",02/12/2020,331,197,403,253,149,376,105,71,144,25,24,27,39,34,54,114,102,126,17,8,71
8678,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",01/12/2020,,,,,,,,,,,,,,,,102,65,121,17,10,85
8679,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",30/11/2020,,,,,,,,,,,,,,,,,,,,,
8680,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",29/11/2020,150,48,250,130,86,170,77,55,107,22,20,24,33,22,50,96,80,108,15,9,41
8681,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",28/11/2020,82,38,157,115,85,184,60,41,96,23,22,25,26,22,32,96,70,103,15,8,36
8682,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",27/11/2020,140,20,308,172,56,348,57,36,85,26,25,27,29,25,39,86,75,104,16,1,39
8683,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",26/11/2020,361,306,419,430,277,500,93,64,132,26,24,28,50,30,99,108,104,132,15,11,128
8684,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",25/11/2020,346,163,423,431,207,500,109,75,141,24,22,26,38,29,46,117,102,142,27,9,57
8685,Delhi,Delhi,site_1434,"Wazirpur, Delhi - DPCC",24/11/2020,,,,,,,,,,,,,,,,,,,,,
