,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
9016,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",31/12/2020,167,140,186,138,122,151,48,41,60,5,3,5,3,1,9,33,24,41,100,82,127
9017,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",30/12/2020,158,129,185,139,122,156,53,38,74,5,3,6,5,2,10,35,25,52,102,35,145
9018,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",29/12/2020,151,95,181,140,111,154,66,38,101,5,3,6,5,1,9,46,25,65,70,9,137
9019,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",28/12/2020,150,73,181,144,97,158,74,44,98,5,3,7,10,4,14,36,10,79,63,1,143
9020,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",27/12/2020,163,142,182,149,127,158,78,52,122,5,3,8,9,1,18,51,24,82,73,1,164
9021,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",26/12/2020,165,136,189,136,114,153,63,45,87,5,4,6,5,2,9,39,21,55,77,17,135
9022,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",25/12/2020,142,71,184,124,92,147,60,41,105,4,3,5,6,1,16,38,20,56,68,25,137
9023,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",24/12/2020,135,85,183,132,108,155,78,51,134,4,3,4,8,1,22,35,22,80,100,1,167
9024,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",23/12/2020,,,,,,,,,,,,,,,,47,13,77,56,5,123
9025,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",22/12/2020,82,38,176,102,70,159,57,35,115,2,2,4,14,3,52,39,10,66,58,12,115
9026,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",21/12/2020,103,61,179,108,79,135,48,38,69,3,2,4,12,3,36,29,15,42,73,38,111
9027,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",20/12/2020,133,72,178,123,90,155,53,39,90,4,3,5,9,2,18,32,17,54,62,30,90
9028,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",19/12/2020,137,71,176,121,78,154,55,41,86,4,2,5,7,1,15,35,17,51,61,20,93
9029,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",18/12/2020,94,58,178,105,69,152,66,39,119,4,2,4,6,2,19,56,18,90,34,1,101
9030,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",17/12/2020,121,57,181,113,79,136,51,36,83,4,3,6,4,1,10,35,15,50,45,18,89
9031,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",16/12/2020,,,,98,72,128,47,32,84,4,3,4,4,1,8,39,16,57,50,19,78
9032,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",15/12/2020,80,45,111,95,63,125,43,33,65,4,3,4,5,1,9,30,11,39,61,43,89
9033,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",14/12/2020,121,67,176,108,83,126,51,40,77,4,3,5,6,3,8,33,20,45,61,8,98
9034,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",13/12/2020,93,60,172,97,70,128,48,35,82,4,3,5,7,1,10,31,13,49,66,26,92
9035,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",12/12/2020,67,32,107,83,60,120,50,36,84,4,3,5,5,1,11,34,10,46,58,30,104
9036,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",11/12/2020,79,45,115,104,69,140,73,43,106,4,3,4,10,3,17,30,17,62,67,1,105
9037,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",10/12/2020,90,20,180,106,56,155,83,29,132,4,3,5,17,5,43,49,14,88,41,2,101
9038,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",09/12/2020,84,16,145,95,51,140,69,43,126,4,3,5,8,2,22,44,13,74,37,4,85
9039,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",08/12/2020,74,25,147,92,49,124,45,21,80,3,2,4,9,5,15,35,2,51,48,17,71
9040,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",07/12/2020,79,35,174,92,56,146,47,25,92,3,2,4,14,5,23,45,12,79,37,4,83
9041,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",06/12/2020,91,44,160,106,69,149,49,29,84,3,2,4,11,5,20,40,8,66,42,16,85
9042,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",05/12/2020,103,37,178,104,61,152,58,36,88,3,2,4,10,6,15,41,10,64,30,4,73
9043,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",04/12/2020,121,55,184,115,70,155,62,38,106,3,2,5,11,6,24,52,15,84,33,3,111
9044,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",03/12/2020,119,55,184,119,76,158,53,35,87,3,2,5,11,3,30,29,12,60,73,1,102
9045,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",02/12/2020,112,43,183,112,70,155,57,33,86,3,2,4,7,5,11,37,14,68,52,1,104
9046,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",01/12/2020,74,36,187,86,52,158,55,33,113,2,2,3,4,1,9,58,20,100,30,1,106
9047,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",30/11/2020,44,25,72,62,37,103,39,27,68,2,2,3,2,1,5,35,15,60,31,3,63
9048,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",29/11/2020,48,30,71,56,40,88,38,29,59,2,2,3,3,1,7,29,14,36,23,8,49
9049,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",28/11/2020,69,37,115,66,31,90,33,25,39,3,2,3,4,1,6,24,12,30,35,22,41
9050,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",27/11/2020,60,25,97,70,48,97,35,26,50,3,2,3,3,1,6,26,16,32,34,21,54
9051,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",26/11/2020,82,44,132,98,69,127,45,31,70,2,2,3,8,2,17,29,18,37,47,18,68
9052,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",25/11/2020,110,67,181,120,94,156,54,21,75,2,2,3,15,6,32,34,14,48,48,15,88
9053,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",24/11/2020,111,63,165,112,78,155,51,33,89,2,2,3,9,4,22,36,13,50,52,24,88
9054,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",23/11/2020,96,67,171,105,81,131,53,35,93,2,2,3,5,2,11,31,18,53,60,1,81
9055,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",22/11/2020,59,25,182,83,46,151,50,30,109,2,1,2,4,1,11,39,6,79,28,1,80
9056,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",21/11/2020,44,26,65,61,42,80,41,32,62,2,1,2,1,1,3,24,11,32,35,3,81
9057,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",20/11/2020,40,25,53,56,40,74,36,27,61,2,1,2,2,1,4,28,14,44,31,14,49
9058,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",19/11/2020,58,35,90,69,43,106,40,30,69,2,2,2,3,1,6,32,11,47,24,6,49
9059,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",18/11/2020,70,49,98,81,58,107,44,33,68,2,2,3,4,1,6,32,13,51,43,20,70
9060,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",17/11/2020,70,46,113,78,56,112,38,29,58,2,2,2,3,1,6,26,10,34,44,28,70
9061,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",16/11/2020,83,38,186,82,44,146,38,32,57,2,2,2,4,1,7,24,9,33,42,20,75
9062,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",15/11/2020,79,32,190,87,50,154,48,32,67,2,2,3,4,1,12,28,6,44,44,4,68
9063,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",14/11/2020,51,22,123,63,31,124,45,33,82,2,2,3,3,1,7,40,12,56,21,3,53
9064,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",13/11/2020,47,28,78,59,41,100,45,35,66,2,2,3,3,1,8,27,16,43,30,8,44
9065,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",12/11/2020,111,48,181,113,64,151,59,42,79,2,2,3,17,3,47,30,17,45,46,26,85
9066,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",11/11/2020,147,89,188,139,106,157,49,36,74,2,2,3,17,7,33,30,22,45,83,65,114
9067,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",10/11/2020,136,86,190,130,98,157,54,35,80,3,2,5,18,8,47,33,15,46,95,31,122
9068,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",09/11/2020,112,65,172,115,87,143,49,35,74,3,2,3,21,7,57,18,8,27,77,39,88
9069,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",08/11/2020,158,119,184,135,115,158,46,38,57,3,3,4,9,5,30,30,22,40,66,51,90
9070,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",07/11/2020,124,90,186,127,111,148,56,42,74,3,2,4,13,5,60,44,19,54,53,34,91
9071,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",06/11/2020,115,62,175,128,92,156,55,42,69,2,2,3,9,3,15,28,11,40,76,25,95
9072,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",05/11/2020,140,64,188,140,106,157,56,38,78,3,2,8,13,4,33,31,20,43,71,20,94
9073,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",04/11/2020,168,156,186,146,130,156,48,32,63,3,2,5,10,6,23,34,15,40,81,24,94
9074,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",03/11/2020,150,92,184,141,102,157,51,33,70,3,2,5,8,3,18,32,18,40,74,6,98
9075,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",02/11/2020,135,86,182,136,111,157,48,38,59,2,2,4,6,1,18,34,22,43,84,26,98
9076,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",01/11/2020,160,113,187,141,121,158,50,36,68,3,2,4,7,1,27,35,18,48,64,21,91
9077,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",31/10/2020,149,119,177,133,110,156,54,37,98,3,3,4,17,3,114,26,16,32,63,9,84
9078,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",30/10/2020,142,98,182,125,106,155,57,39,76,3,3,4,6,3,15,39,16,51,49,6,80
9079,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",29/10/2020,117,77,170,120,95,156,55,36,84,3,2,3,4,1,8,36,19,52,40,3,75
9080,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",28/10/2020,115,84,174,115,102,144,46,34,71,3,2,3,4,2,10,31,16,38,50,11,79
9081,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",27/10/2020,109,66,180,110,90,141,44,34,54,2,2,4,3,1,9,27,14,50,58,3,73
9082,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",26/10/2020,109,76,155,106,92,125,46,36,69,2,2,2,2,1,4,36,19,77,44,3,87
9083,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",25/10/2020,126,81,184,123,95,156,51,35,77,2,2,2,6,1,16,41,21,76,41,1,101
9084,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",24/10/2020,145,95,188,135,107,158,49,32,91,2,1,4,5,1,15,48,20,79,35,5,95
9085,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",23/10/2020,150,99,184,122,77,155,46,28,68,3,2,4,5,2,12,37,21,50,35,1,78
9086,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",22/10/2020,69,38,104,,,,37,19,49,2,2,2,1,1,2,33,14,44,29,5,52
9087,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",21/10/2020,69,42,118,60,35,103,44,29,59,2,1,3,1,1,4,37,13,54,14,1,47
9088,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",20/10/2020,48,26,77,,,,42,29,52,2,1,2,2,1,4,38,14,54,8,1,53
9089,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",19/10/2020,39,12,73,,,,41,32,50,2,1,2,2,1,3,34,10,47,20,2,59
9090,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",18/10/2020,37,11,55,49,16,73,37,30,51,1,1,2,2,1,3,18,8,35,38,6,51
9091,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",17/10/2020,37,20,53,48,26,77,34,18,50,1,1,2,,,,19,12,37,17,5,47
9092,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",16/10/2020,35,21,53,42,26,80,35,26,54,2,1,2,,,,28,9,49,17,2,39
9093,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",15/10/2020,,,,,,,,,,,,,,,,28,12,31,15,10,21
9094,Telangana,Hyderabad,site_262,"Central University, Hyderabad - TSPCB",14/10/2020,32,16,52,28,12,44,28,22,38,2,1,2,,,,16,4,23,31,5,37
