,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
10488,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",31/12/2020,277,171,325,182,150,211,55,48,64,5,5,6,8,7,10,44,28,66,42,9,101
10489,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",30/12/2020,369,260,459,319,160,447,83,56,112,10,7,16,14,8,40,102,6,140,30,10,158
10490,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",29/12/2020,349,264,413,274,159,407,75,50,105,9,7,15,9,7,11,82,31,124,16,10,35
10491,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",28/12/2020,293,182,394,209,143,341,65,42,93,8,6,13,9,7,11,75,23,119,16,10,33
10492,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",27/12/2020,316,179,389,219,142,387,68,44,96,9,6,12,9,7,11,89,31,122,15,10,30
10493,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",26/12/2020,288,149,375,190,126,358,67,49,95,8,6,12,8,7,10,74,29,115,14,8,27
10494,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",25/12/2020,286,125,434,,,,70,53,95,9,7,14,10,8,11,86,28,126,14,10,29
10495,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",24/12/2020,326,220,429,,,,68,51,96,8,7,13,9,7,11,80,37,118,13,10,27
10496,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",23/12/2020,370,308,423,,,,75,55,95,8,6,11,9,7,13,77,30,120,16,9,42
10497,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",22/12/2020,343,319,394,247,190,377,66,48,93,7,6,11,9,6,11,77,37,110,14,9,28
10498,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",21/12/2020,299,229,344,187,147,250,51,36,80,6,5,9,8,6,13,55,25,103,15,9,29
10499,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",20/12/2020,224,143,338,160,125,246,49,36,77,6,5,8,8,7,11,49,24,78,16,9,31
10500,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",19/12/2020,227,106,321,160,120,212,58,43,80,8,6,10,9,7,12,46,20,80,13,9,25
10501,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",18/12/2020,262,126,345,184,122,270,62,48,79,9,7,11,9,7,12,67,24,106,13,8,28
10502,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",17/12/2020,247,62,319,173,121,244,70,44,113,10,7,11,11,7,34,75,22,106,24,9,83
10503,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",16/12/2020,247,142,332,163,122,240,51,2,89,8,7,11,9,8,12,55,22,104,15,6,30
10504,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",15/12/2020,288,134,372,203,111,324,50,3,127,10,6,13,11,8,20,79,16,113,18,5,96
10505,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",14/12/2020,290,215,357,177,139,300,46,2,74,10,8,11,10,8,13,81,26,116,10,4,31
10506,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",13/12/2020,317,307,325,185,165,205,57,48,72,9,7,10,9,8,11,52,37,64,8,5,20
10507,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",12/12/2020,277,185,333,177,126,230,64,34,105,10,5,12,10,7,21,60,31,72,20,4,64
10508,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",11/12/2020,311,257,361,189,143,280,58,39,89,11,6,13,8,7,11,64,40,101,10,5,37
10509,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",10/12/2020,337,311,352,229,192,269,66,47,131,11,6,14,10,7,22,71,46,91,17,5,89
10510,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",09/12/2020,326,308,345,200,166,242,59,46,73,10,9,13,8,7,9,58,38,105,10,5,22
10511,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",08/12/2020,,,,,,,,,,,,,,,,104,23,138,15,6,109
10512,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",07/12/2020,255,196,305,154,140,172,61,47,80,10,8,13,10,6,18,38,28,50,18,5,50
10513,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",06/12/2020,255,188,322,162,142,211,58,44,78,9,7,11,11,7,26,39,25,56,17,5,53
10514,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",05/12/2020,253,84,350,182,131,248,74,44,104,9,6,10,9,7,21,49,12,104,23,5,76
10515,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",04/12/2020,307,234,365,223,147,371,76,50,120,8,6,9,9,6,21,86,28,125,16,5,64
10516,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",03/12/2020,310,175,340,229,161,295,80,54,127,8,4,10,11,8,20,84,24,110,10,4,43
10517,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",02/12/2020,263,111,369,209,101,400,76,57,102,9,6,11,10,8,14,84,21,115,20,4,79
10518,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",01/12/2020,216,28,335,182,113,313,78,42,178,10,8,13,11,5,27,102,21,133,21,4,127
10519,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",30/11/2020,232,101,324,168,113,236,65,42,104,11,9,13,8,6,10,83,19,116,11,5,40
10520,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",29/11/2020,150,85,277,137,111,205,55,38,89,9,8,12,8,6,11,59,21,88,12,5,36
10521,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",28/11/2020,124,66,309,126,89,193,55,12,79,10,5,14,8,5,14,31,20,80,9,4,31
10522,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",27/11/2020,235,139,306,165,130,201,61,35,82,12,10,14,8,6,10,64,26,103,8,3,23
10523,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",26/11/2020,230,77,313,166,91,265,87,59,216,20,13,99,9,5,22,87,30,114,7,4,76
10524,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",25/11/2020,233,114,329,171,116,261,77,53,114,16,13,22,7,5,11,81,19,122,7,4,54
10525,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",24/11/2020,177,76,329,149,106,280,61,41,108,15,13,20,7,5,10,74,19,126,11,4,34
10526,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",23/11/2020,188,72,343,140,86,235,49,31,79,13,8,21,7,6,7,63,20,98,8,4,34
10527,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",22/11/2020,214,93,340,146,86,239,34,20,53,8,5,12,8,6,14,76,16,90,5,3,38
10528,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",21/11/2020,109,85,172,103,88,132,36,22,84,9,6,13,12,6,28,37,19,61,30,5,92
10529,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",20/11/2020,101,50,174,104,85,129,45,28,76,10,6,16,11,7,29,32,13,44,26,5,83
10530,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",19/11/2020,233,167,311,154,133,184,58,43,76,10,7,13,13,8,19,36,24,46,32,5,77
10531,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",18/11/2020,246,150,305,165,141,189,68,28,123,11,8,14,14,8,23,65,24,104,18,5,120
10532,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",17/11/2020,162,53,279,138,78,180,73,45,144,12,8,19,11,8,13,67,14,108,21,5,83
10533,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",16/11/2020,158,75,308,134,91,199,57,37,101,12,7,24,11,9,13,50,18,86,16,5,43
10534,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",15/11/2020,124,76,283,130,103,194,64,36,131,13,6,32,12,8,21,49,16,90,22,6,50
10535,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",14/11/2020,68,38,123,97,66,139,64,35,130,12,6,40,13,8,24,38,17,53,22,8,101
10536,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",13/11/2020,70,3,116,106,5,141,56,31,85,11,6,23,14,7,22,40,15,53,18,5,70
10537,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",12/11/2020,72,43,161,90,60,132,66,30,138,13,6,45,12,10,19,55,16,87,14,4,56
10538,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",11/11/2020,145,73,302,134,83,194,99,59,188,24,10,76,13,10,18,65,14,111,17,4,57
10539,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",10/11/2020,163,48,307,136,67,227,91,51,167,25,11,83,11,7,17,81,15,128,18,4,68
10540,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",09/11/2020,200,66,313,153,93,218,87,45,173,29,13,109,11,7,16,75,19,105,16,4,74
10541,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",08/11/2020,248,201,317,171,153,224,75,49,117,21,11,65,12,8,18,60,34,89,17,4,45
10542,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",07/11/2020,238,83,327,178,114,221,93,52,175,16,1,65,13,8,22,69,17,105,22,4,89
10543,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",06/11/2020,259,101,334,205,136,294,82,38,159,11,1,43,15,8,33,89,19,120,22,4,111
10544,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",05/11/2020,246,143,309,186,139,259,64,26,155,4,1,12,18,10,30,71,20,106,25,5,99
10545,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",04/11/2020,121,16,294,136,67,195,55,27,85,4,1,14,16,8,43,55,27,70,46,4,85
10546,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",03/11/2020,28,12,60,40,21,78,40,17,86,3,1,7,9,7,10,39,15,54,13,4,37
10547,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",02/11/2020,16,10,24,29,18,41,26,12,49,6,2,19,8,8,10,19,14,23,16,7,27
10548,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",01/11/2020,77,26,107,108,46,129,25,14,59,4,3,6,9,6,12,24,16,36,21,10,46
10549,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",31/10/2020,72,61,82,103,85,122,33,15,57,7,3,22,9,6,14,36,27,44,41,10,58
10550,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",30/10/2020,117,63,195,113,85,149,44,22,68,8,3,27,9,6,14,33,26,54,32,10,55
10551,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",29/10/2020,174,120,219,148,131,164,52,30,91,6,3,16,10,7,14,49,34,63,35,7,84
10552,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",28/10/2020,,,,,,,,,,,,,,,,66,10,106,36,3,92
10553,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",27/10/2020,,,,,,,,,,,,,,,,,,,,,
10554,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",26/10/2020,,,,,,,,,,,,,,,,,,,,,
10555,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",25/10/2020,34,9,94,55,26,128,51,20,106,5,1,11,6,4,8,67,17,105,8,3,32
10556,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",24/10/2020,20,13,29,28,19,42,20,13,29,4,2,6,6,5,7,23,19,28,6,4,8
10557,West Bengal,Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",23/10/2020,12,8,26,23,20,27,32,13,159,2,1,6,5,5,6,23,14,28,10,7,17
