,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
11224,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",31/12/2020,314,246,356,189,142,237,39,20,80,16,12,20,22,9,36,50,6,84,40,18,81
11225,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",30/12/2020,303,36,354,263,169,408,43,21,83,19,17,22,15,5,37,51,8,114,35,8,68
11226,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",29/12/2020,344,289,439,317,172,500,91,16,153,21,14,35,11,3,18,53,17,78,6,2,19
11227,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",28/12/2020,304,160,426,297,143,500,79,3,193,25,12,61,13,5,32,67,3,111,9,2,18
11228,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",27/12/2020,264,140,415,251,130,499,65,18,159,20,11,45,16,7,32,65,11,122,9,2,16
11229,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",26/12/2020,284,89,412,267,127,403,59,32,130,17,12,23,10,3,16,57,5,107,8,5,13
11230,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",25/12/2020,377,198,500,345,160,500,92,32,195,32,14,77,12,1,39,68,6,126,12,6,18
11231,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",24/12/2020,351,182,491,369,136,500,97,23,188,36,17,81,11,1,40,80,8,120,14,8,21
11232,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",23/12/2020,372,226,500,368,168,500,111,35,323,31,8,76,9,1,30,60,3,116,23,9,55
11233,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",22/12/2020,346,36,500,307,170,500,130,30,255,33,13,99,15,6,45,86,6,148,19,6,54
11234,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",21/12/2020,366,325,429,382,266,447,143,76,219,21,13,33,12,8,15,68,15,133,22,16,39
11235,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",20/12/2020,349,305,383,335,223,479,135,74,362,17,12,37,9,5,14,54,16,85,27,14,46
11236,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",19/12/2020,300,215,362,233,144,403,107,50,264,14,10,22,10,5,18,52,17,85,28,16,49
11237,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",18/12/2020,170,55,311,148,88,195,79,49,151,11,7,13,8,4,12,53,8,78,33,11,48
11238,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",17/12/2020,242,119,310,205,137,283,109,65,228,14,12,20,11,6,15,54,8,95,18,7,42
11239,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",16/12/2020,233,135,320,209,150,427,120,38,333,20,12,41,11,5,20,57,8,112,15,2,54
11240,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",15/12/2020,136,20,223,161,133,212,69,19,235,14,11,20,8,1,15,49,13,86,27,18,45
11241,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",14/12/2020,143,44,326,162,113,243,44,27,74,18,15,22,9,6,15,45,6,86,29,17,43
11242,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",13/12/2020,246,22,362,261,177,407,64,32,114,20,14,28,10,2,15,52,8,87,24,12,41
11243,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",12/12/2020,225,69,325,259,165,405,61,34,90,23,18,33,10,5,12,47,29,77,19,13,26
11244,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",11/12/2020,224,97,328,268,140,406,77,42,132,24,13,37,8,2,13,50,9,98,25,1,57
11245,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",10/12/2020,309,100,374,360,170,448,91,50,142,22,14,35,9,4,15,55,4,150,15,1,66
11246,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",09/12/2020,325,212,376,362,205,439,114,38,185,30,16,47,10,1,21,75,4,105,17,2,71
11247,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",08/12/2020,343,257,400,376,197,497,120,39,193,28,14,40,9,3,17,46,1,89,12,1,63
11248,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",07/12/2020,337,263,422,316,194,500,112,46,211,27,17,48,9,1,17,66,7,127,17,2,93
11249,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",06/12/2020,376,326,459,395,248,500,130,54,238,38,19,65,8,1,17,64,7,114,15,1,83
11250,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",05/12/2020,410,332,473,435,198,500,153,50,241,42,14,73,12,4,27,83,10,119,12,1,62
11251,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",04/12/2020,339,74,474,419,318,500,113,47,201,29,13,71,16,2,51,159,2,159,14,1,65
11252,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",03/12/2020,353,322,408,351,254,476,103,48,201,24,13,51,11,6,19,85,9,118,16,1,67
11253,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",02/12/2020,315,207,404,309,194,473,123,36,204,21,12,40,10,5,21,67,6,102,17,2,86
11254,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",01/12/2020,239,69,339,216,127,372,123,45,299,17,10,37,10,5,19,51,2,107,33,12,93
11255,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",30/11/2020,208,79,309,175,128,222,102,41,209,15,10,22,11,6,18,70,14,88,34,15,92
11256,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",29/11/2020,173,54,301,164,101,258,106,44,245,16,10,32,11,6,17,52,6,104,25,12,68
11257,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",28/11/2020,257,58,376,208,108,382,99,44,222,16,7,28,9,3,13,74,3,124,28,11,74
11258,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",27/11/2020,334,232,409,311,163,458,154,49,281,23,11,51,10,3,28,68,9,108,29,10,94
11259,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",26/11/2020,326,192,435,304,165,493,152,53,334,21,11,49,10,2,22,47,4,111,31,11,102
11260,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",25/11/2020,279,18,437,294,136,500,166,24,318,29,11,64,10,1,23,100,2,137,28,10,96
11261,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",24/11/2020,290,92,449,269,159,500,155,53,332,24,9,69,14,7,34,66,6,132,28,11,110
11262,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",23/11/2020,170,70,307,138,54,225,83,43,190,10,7,17,9,6,16,56,8,103,38,17,67
11263,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",22/11/2020,189,55,303,160,102,214,67,39,119,9,6,11,10,7,12,66,25,101,46,28,67
11264,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",21/11/2020,182,74,297,151,121,194,74,48,126,16,11,30,9,1,15,52,8,92,55,24,77
11265,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",20/11/2020,196,75,325,170,105,298,118,37,237,14,8,37,10,5,18,43,1,102,23,11,67
11266,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",19/11/2020,145,68,320,143,99,292,90,32,226,11,4,37,10,6,20,70,12,121,23,11,79
11267,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",18/11/2020,87,39,180,99,76,151,59,38,98,5,3,10,9,4,12,47,1,117,34,14,50
11268,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",17/11/2020,111,22,326,100,28,388,60,22,152,10,5,28,9,4,22,71,18,124,18,10,62
11269,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",16/11/2020,331,133,500,288,160,482,104,38,226,13,7,22,12,5,41,49,6,135,39,12,99
11270,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",15/11/2020,246,89,500,219,122,500,77,20,229,16,8,34,12,4,49,88,20,118,29,10,83
11271,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",14/11/2020,203,44,331,223,133,413,78,21,144,16,10,34,9,3,19,35,2,101,23,5,67
11272,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",13/11/2020,239,63,346,261,110,445,82,20,160,23,10,50,8,1,16,53,1,117,26,5,78
11273,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",12/11/2020,225,55,326,229,70,424,75,18,151,20,7,57,10,3,36,82,5,119,22,4,64
11274,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",11/11/2020,282,85,374,292,107,468,80,20,133,23,8,49,9,1,23,50,2,112,20,4,67
11275,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",10/11/2020,333,180,422,365,117,500,93,25,156,27,12,58,9,1,26,55,3,152,20,8,91
11276,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",09/11/2020,,,,,,,,,,,,,,,,41,14,104,29,5,106
11277,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",08/11/2020,305,144,378,360,159,444,79,26,142,18,7,36,6,1,15,54,1,108,22,6,80
11278,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",07/11/2020,387,318,475,429,238,500,92,34,170,21,8,55,7,2,18,48,1,113,21,9,98
11279,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",06/11/2020,372,318,458,385,204,500,84,38,139,24,9,61,12,2,26,66,12,114,19,1,83
11280,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",05/11/2020,287,94,370,288,145,424,84,22,141,19,8,38,10,2,22,44,4,100,36,1,92
11281,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",04/11/2020,263,9,351,245,10,438,61,16,150,14,5,40,13,6,21,36,4,75,26,3,171
11282,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",03/11/2020,314,160,392,232,95,427,49,16,88,8,5,16,12,5,18,31,4,64,7,1,20
11283,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",02/11/2020,336,295,377,241,150,331,49,15,87,8,6,12,11,2,31,39,1,109,12,9,59
11284,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",01/11/2020,169,39,306,140,80,189,49,16,87,7,6,10,11,1,24,35,3,100,47,12,76
11285,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",31/10/2020,198,64,315,145,79,242,49,16,87,10,6,21,10,3,21,44,7,106,27,8,74
11286,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",30/10/2020,257,30,332,172,63,240,46,15,87,14,6,35,11,7,22,27,7,57,33,12,73
11287,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow - CPCB",29/10/2020,,,,,,,,,,,,,,,,46,5,64,14,9,28
