,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
12880,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",31/12/2020,173,97,283,246,183,376,52,15,83,9,7,11,11,6,18,80,71,103,26,4,76
12881,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",30/12/2020,135,82,267,217,154,342,59,22,119,10,8,12,13,5,21,74,52,98,31,4,117
12882,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",29/12/2020,95,37,189,176,99,287,51,28,85,8,7,11,10,4,15,45,36,79,44,11,145
12883,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",28/12/2020,137,89,186,190,144,226,62,34,92,9,8,10,14,12,16,67,61,83,78,8,176
12884,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",27/12/2020,138,67,278,202,131,385,65,12,136,8,7,10,13,9,18,70,61,104,57,3,176
12885,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",26/12/2020,142,58,299,210,123,405,56,18,110,10,8,11,16,4,24,76,54,106,33,3,237
12886,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",25/12/2020,118,53,252,196,124,391,52,19,88,10,8,11,13,9,22,68,43,103,45,3,238
12887,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",24/12/2020,99,54,167,176,121,269,49,20,86,9,7,10,13,9,19,76,62,98,20,3,195
12888,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",23/12/2020,88,38,193,168,102,295,44,13,86,9,8,11,15,9,26,64,48,89,49,3,206
12889,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",22/12/2020,76,35,139,147,95,199,43,13,102,7,6,8,7,3,12,47,26,68,59,3,168
12890,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",21/12/2020,81,48,116,142,109,181,35,15,61,8,7,8,10,8,12,49,38,74,57,11,207
12891,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",20/12/2020,91,53,156,154,112,216,40,15,79,7,6,9,7,2,12,56,36,91,44,7,168
12892,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19/12/2020,123,68,250,180,126,268,48,10,123,7,5,8,10,5,16,83,50,100,15,3,169
12893,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",18/12/2020,142,82,220,193,143,262,42,2,109,6,5,8,11,6,15,75,59,102,26,3,91
12894,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",17/12/2020,134,87,193,181,146,232,45,7,101,7,6,9,13,6,16,76,63,88,21,3,105
12895,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",16/12/2020,99,63,183,158,119,226,38,5,97,7,6,9,12,7,16,67,51,79,28,4,75
12896,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",15/12/2020,50,17,90,97,33,162,22,9,47,6,5,7,9,4,13,52,37,67,13,4,47
12897,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",14/12/2020,61,32,80,115,87,143,21,13,34,7,6,8,13,12,14,45,42,75,43,7,70
12898,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",13/12/2020,79,53,153,142,106,208,30,7,65,9,7,11,13,8,17,71,53,97,16,3,85
12899,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",12/12/2020,88,53,140,154,117,229,36,20,55,9,7,12,12,6,18,58,43,91,28,3,83
12900,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",11/12/2020,91,58,133,154,121,208,47,11,99,12,10,16,14,9,19,75,55,92,41,3,180
