,State,City,Station_ID,Station_Name,Date,PM2.5_average,PM2.5_minimum,PM2.5_maximum,PM10_average,PM10_minimum,PM10_maximum,NO2_average,NO2_minimum,NO2_maximum,NH3_average,NH3_minimum,NH3_maximum,SO2_average,SO2_minimum,SO2_maximum,CO_average,CO_minimum,CO_maximum,OZONE_average,OZONE_minimum,OZONE_maximum
16928,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",31/12/2020,,,,,,,,,,,,,,,,,,,,,
16929,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",30/12/2020,117,56,366,115,64,335,72,37,108,,,,,,,28,17,101,26,11,55
16930,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",29/12/2020,,,,,,,70,31,113,,,,,,,47,17,110,22,12,54
16931,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",28/12/2020,,,,,,,75,37,126,,,,,,,48,27,106,,,
16932,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",27/12/2020,,,,,,,115,66,130,,,,6,3,9,80,47,120,28,11,55
16933,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",26/12/2020,,,,,,,107,58,143,,,,6,3,8,89,60,118,22,10,42
16934,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",25/12/2020,138,29,277,121,33,189,110,46,145,,,,6,3,9,83,52,117,17,11,44
16935,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",24/12/2020,,,,,,,,,,,,,,,,110,96,122,19,12,35
16936,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",23/12/2020,,,,,,,,,,,,,,,,,,,,,
16937,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",22/12/2020,,,,,,,,,,,,,,,,,,,,,
16938,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",21/12/2020,,,,,,,,,,,,,,,,93,82,106,6,5,9
16939,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",20/12/2020,,,,,,,,,,,,,,,,,,,,,
16940,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",19/12/2020,127,69,302,121,81,198,87,59,115,,,,,,,47,45,111,16,9,21
16941,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",18/12/2020,,,,,,,,,,,,,,,,85,61,116,,,
16942,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",17/12/2020,,,,,,,,,,,,,,,,93,57,108,14,13,16
16943,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",16/12/2020,188,106,254,147,111,173,73,36,111,,,,6,4,8,80,70,113,20,9,31
16944,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",15/12/2020,117,64,224,114,75,161,70,35,93,,,,6,5,7,105,76,112,13,9,14
16945,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",14/12/2020,149,87,246,109,92,136,59,29,92,,,,,,,52,17,102,16,9,28
16946,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",13/12/2020,203,95,315,124,82,173,77,29,104,,,,,,,36,18,103,15,9,32
16947,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",12/12/2020,120,64,326,84,53,187,70,29,128,,,,,,,92,35,123,14,10,29
16948,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",11/12/2020,,,,,,,,,,,,,,,,75,48,104,12,10,13
16949,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",10/12/2020,,,,,,,,,,,,,,,,102,84,112,2,2,2
16950,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",09/12/2020,,,,,,,,,,,,,,,,,,,,,
16951,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",08/12/2020,,,,,,,,,,,,,,,,,,,,,
16952,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",07/12/2020,,,,,,,,,,,,,,,,55,40,70,,,
16953,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",06/12/2020,,,,,,,,,,,,,,,,115,17,124,,,
16954,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",05/12/2020,174,41,371,113,32,272,99,41,147,,,,28,3,122,88,29,111,6,1,19
16955,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",04/12/2020,187,61,406,118,51,274,107,82,122,,,,6,4,9,78,40,110,12,9,21
16956,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",03/12/2020,146,86,207,104,74,124,78,27,133,,,,5,4,7,94,40,118,12,10,23
16957,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",02/12/2020,120,38,307,86,30,162,69,23,107,,,,6,4,8,92,17,109,,,
16958,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",01/12/2020,,,,,,,,,,,,,,,,92,49,120,10,10,11
16959,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",30/11/2020,71,36,134,59,28,102,66,43,97,,,,6,3,8,90,50,107,11,9,16
16960,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",29/11/2020,93,53,455,80,43,431,60,38,98,,,,19,4,34,88,65,108,11,10,19
16961,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",28/11/2020,141,65,280,98,54,147,74,38,107,,,,7,5,14,99,17,111,4,1,15
16962,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",27/11/2020,152,82,372,107,70,273,85,45,132,,,,6,4,16,56,26,102,12,9,21
16963,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",26/11/2020,200,66,340,122,55,208,101,53,181,,,,6,3,9,109,105,112,11,9,19
16964,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",25/11/2020,131,17,393,92,10,318,76,22,142,,,,125,111,133,95,28,111,2,1,12
16965,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",24/11/2020,,,,,,,,,,,,,,,,102,39,112,16,1,31
16966,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",23/11/2020,,,,,,,,,,,,,,,,,,,,,
16967,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",22/11/2020,,,,,,,,,,,,,,,,,,,,,
16968,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",21/11/2020,,,,,,,,,,,,,,,,,,,,,
16969,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",20/11/2020,,,,,,,,,,,,,,,,,,,,,
16970,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",19/11/2020,,,,,,,,,,,,,,,,,,,,,
16971,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",18/11/2020,,,,,,,,,,,,,,,,,,,,,
16972,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",17/11/2020,,,,,,,,,,,,,,,,,,,,,
16973,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",16/11/2020,203,39,500,156,31,488,58,25,118,,,,76,34,127,60,19,103,11,9,17
16974,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",15/11/2020,108,21,494,132,36,466,44,37,64,,,,12,4,83,40,17,91,11,7,17
16975,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",14/11/2020,,,,,,,,,,,,,,,,69,24,108,2,1,8
16976,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",13/11/2020,,,,,,,,,,,,,,,,,,,,,
16977,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",12/11/2020,,,,,,,,,,,,,,,,,,,,,
16978,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",11/11/2020,,,,,,,,,,,,,,,,,,,,,
16979,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",10/11/2020,,,,,,,,,,,,,,,,,,,,,
16980,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",09/11/2020,,,,,,,,,,,,,,,,,,,,,
16981,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",08/11/2020,,,,,,,,,,,,,,,,,,,,,
16982,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",07/11/2020,,,,,,,,,,,,,,,,,,,,,
16983,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",06/11/2020,,,,,,,,,,,,,,,,,,,,,
16984,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",05/11/2020,,,,,,,,,,,,,,,,,,,,,
16985,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",04/11/2020,,,,,,,,,,,,,,,,,,,,,
16986,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",03/11/2020,,,,,,,,,,,,,,,,,,,,,
16987,Maharashtra,Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",02/11/2020,,,,,,,,,,,,,,,,,,,,,
